5.00000000e-02 1.97470179e-07
6.00000000e-02 1.97470179e-07
7.00000000e-02 1.25000320e-01
8.00000000e-02 1.25000160e-01
9.00000000e-02 1.25000160e-01
1.00000000e-01 1.25000160e-01
1.10000000e-01 1.25000160e-01
1.20000000e-01 1.25000160e-01
1.30000000e-01 1.25000160e-01
1.40000000e-01 1.25000160e-01
1.50000000e-01 1.25000160e-01
1.60000000e-01 1.25000160e-01
1.70000000e-01 1.25000160e-01
1.80000000e-01 1.25000160e-01
1.90000000e-01 1.25000160e-01
2.00000000e-01 1.25000160e-01
2.10000000e-01 2.50000142e-01
2.20000000e-01 2.50000143e-01
2.30000000e-01 2.50000143e-01
2.40000000e-01 2.50000143e-01
2.50000000e-01 2.50000143e-01
2.60000000e-01 2.50000143e-01
2.70000000e-01 2.50000143e-01
2.80000000e-01 2.50000143e-01
2.90000000e-01 2.50000143e-01
3.00000000e-01 2.50000143e-01
3.10000000e-01 2.50000143e-01
3.20000000e-01 2.50000143e-01
3.30000000e-01 2.50000143e-01
3.40000000e-01 2.50000143e-01
3.50000000e-01 2.50000143e-01
3.60000000e-01 3.75000105e-01
3.70000000e-01 3.75000105e-01
3.80000000e-01 3.75000105e-01
3.90000000e-01 3.75000105e-01
4.00000000e-01 3.75000105e-01
4.10000000e-01 3.75000105e-01
4.20000000e-01 3.75000105e-01
4.30000000e-01 3.75000105e-01
4.40000000e-01 3.75000105e-01
4.50000000e-01 3.75000105e-01
4.60000000e-01 3.75000105e-01
4.70000000e-01 3.75000105e-01
4.80000000e-01 3.75000105e-01
4.90000000e-01 5.00000062e-01
5.00000000e-01 5.00000090e-01
5.10000000e-01 5.00000090e-01
5.20000000e-01 5.00000090e-01
5.30000000e-01 5.00000090e-01
5.40000000e-01 5.00000090e-01
5.50000000e-01 5.00000090e-01
5.60000000e-01 5.00000090e-01
5.70000000e-01 5.00000090e-01
5.80000000e-01 5.00000090e-01
5.90000000e-01 5.00000090e-01
6.00000000e-01 5.00000090e-01
6.10000000e-01 5.00000090e-01
6.20000000e-01 5.00000090e-01
6.30000000e-01 5.00000090e-01
6.40000000e-01 5.00000090e-01
6.50000000e-01 6.25000053e-01
6.60000000e-01 6.25000053e-01
6.70000000e-01 6.25000053e-01
6.80000000e-01 6.25000053e-01
6.90000000e-01 6.25000053e-01
7.00000000e-01 6.25000053e-01
7.10000000e-01 6.25000053e-01
7.20000000e-01 6.25000053e-01
7.30000000e-01 6.25000053e-01
7.40000000e-01 6.25000053e-01
7.50000000e-01 6.25000053e-01
7.60000000e-01 6.25000053e-01
7.70000000e-01 6.25000053e-01
7.80000000e-01 6.25000053e-01
7.90000000e-01 7.50071113e-01
8.00000000e-01 7.50000036e-01
8.10000000e-01 7.50000036e-01
8.20000000e-01 7.50000036e-01
8.30000000e-01 7.50000036e-01
8.40000000e-01 7.50000036e-01
8.50000000e-01 7.50000036e-01
8.60000000e-01 7.50000036e-01
8.70000000e-01 7.50000036e-01
8.80000000e-01 7.50000036e-01
8.90000000e-01 7.50000036e-01
9.00000000e-01 7.50000036e-01
9.10000000e-01 7.50000036e-01
9.20000000e-01 7.50000036e-01
9.30000000e-01 7.50000036e-01
9.40000000e-01 8.74999998e-01
9.50000000e-01 8.74999998e-01
9.60000000e-01 8.74999998e-01
9.70000000e-01 8.74999998e-01
9.80000000e-01 8.74999998e-01
9.90000000e-01 8.74999998e-01
1.00000000e+00 8.74999998e-01


0.00000000e+00 2.08098548e-07
1.00000000e-02 2.08098548e-07
2.00000000e-02 2.08098548e-07
3.00000000e-02 2.08098548e-07
4.00000000e-02 2.08098548e-07
5.00000000e-02 2.08098548e-07
6.00000000e-02 1.25000219e-01
7.00000000e-02 1.25000179e-01
8.00000000e-02 1.25000179e-01
9.00000000e-02 1.25000179e-01
1.00000000e-01 1.25000179e-01
1.10000000e-01 1.25000179e-01
1.20000000e-01 1.25000179e-01
1.30000000e-01 1.25000179e-01
1.40000000e-01 1.25000179e-01
1.50000000e-01 1.25000179e-01
1.60000000e-01 1.25000179e-01
1.70000000e-01 1.25000179e-01
1.80000000e-01 1.25000179e-01
1.90000000e-01 1.25000179e-01
2.00000000e-01 1.25000179e-01
2.10000000e-01 2.50000153e-01
2.20000000e-01 2.50000153e-01
2.30000000e-01 2.50000153e-01
2.40000000e-01 2.50000153e-01
2.50000000e-01 2.50000153e-01
2.60000000e-01 2.50000153e-01
2.70000000e-01 2.50000153e-01
2.80000000e-01 2.50000153e-01
2.90000000e-01 2.50000153e-01
3.00000000e-01 2.50000153e-01
3.10000000e-01 2.50000153e-01
3.20000000e-01 2.50000153e-01
3.30000000e-01 2.50000153e-01
3.40000000e-01 2.50000153e-01
3.50000000e-01 2.50000153e-01
3.60000000e-01 3.75000249e-01
3.70000000e-01 3.75000124e-01
3.80000000e-01 3.75000124e-01
3.90000000e-01 3.75000124e-01
4.00000000e-01 3.75000124e-01
4.10000000e-01 3.75000124e-01
4.20000000e-01 3.75000124e-01
4.30000000e-01 3.75000124e-01
4.40000000e-01 3.75000124e-01
4.50000000e-01 3.75000124e-01
4.60000000e-01 3.75000124e-01
4.70000000e-01 3.75000124e-01
4.80000000e-01 3.75000124e-01
4.90000000e-01 5.00000082e-01
5.00000000e-01 5.00000082e-01
5.10000000e-01 5.00000083e-01
5.20000000e-01 5.00000083e-01
5.30000000e-01 5.00000083e-01
5.40000000e-01 5.00000083e-01
5.50000000e-01 5.00000083e-01
5.60000000e-01 5.00000083e-01
5.70000000e-01 5.00000083e-01
5.80000000e-01 5.00000083e-01
5.90000000e-01 5.00000083e-01
6.00000000e-01 5.00000083e-01
6.10000000e-01 5.00000083e-01
6.20000000e-01 5.00000083e-01
6.30000000e-01 6.25000056e-01
6.40000000e-01 6.25000054e-01
6.50000000e-01 6.25000053e-01
6.60000000e-01 6.25000053e-01
6.70000000e-01 6.25000053e-01
6.80000000e-01 6.25000053e-01
6.90000000e-01 6.25000053e-01
7.00000000e-01 6.25000053e-01
7.10000000e-01 6.25000053e-01
7.20000000e-01 6.25000053e-01
7.30000000e-01 6.25000053e-01
7.40000000e-01 6.25000053e-01
7.50000000e-01 6.25000053e-01
7.60000000e-01 6.25000053e-01
7.70000000e-01 6.25000053e-01
7.80000000e-01 7.50000027e-01
7.90000000e-01 7.50000027e-01
8.00000000e-01 7.50000027e-01
8.10000000e-01 7.50000027e-01
8.20000000e-01 7.50000027e-01
8.30000000e-01 7.50000027e-01
8.40000000e-01 7.50000027e-01
8.50000000e-01 7.50000027e-01
8.60000000e-01 7.50000027e-01
8.70000000e-01 7.50000027e-01
8.80000000e-01 7.50000027e-01
8.90000000e-01 7.50000027e-01
9.00000000e-01 7.50000027e-01
9.10000000e-01 7.50000027e-01
9.20000000e-01 7.50000027e-01
9.30000000e-01 7.50000027e-01
9.40000000e-01 8.75000156e-01
9.50000000e-01 8.74999998e-01
9.60000000e-01 8.74999998e-01
9.70000000e-01 8.74999998e-01
9.80000000e-01 8.74999998e-01
9.90000000e-01 8.74999998e-01
1.00000000e+00 8.74999998e-01
